amount,time,transaction_type,device,location,merchant,card_type,customer_age,num_prev_transactions,is_fraud
15895,4,online,laptop,india,flipkart,credit,62,25,0
960,5,online,mobile,india,amazon,debit,23,45,0
38258,19,offline,laptop,foreign,walmart,debit,52,13,0
44832,1,online,laptop,india,amazon,debit,63,44,0
11384,23,offline,mobile,foreign,amazon,debit,31,43,0
6365,12,offline,laptop,india,walmart,credit,64,23,0
16950,5,offline,laptop,india,local_shop,credit,25,40,0
37294,4,offline,laptop,india,amazon,debit,32,0,0
22062,0,online,mobile,india,amazon,debit,44,42,0
47291,20,offline,mobile,india,flipkart,debit,30,21,0
44231,21,online,laptop,foreign,local_shop,credit,66,22,1
16123,20,offline,mobile,foreign,amazon,debit,48,18,0
41190,5,offline,laptop,foreign,flipkart,debit,52,17,0
1785,5,online,laptop,foreign,local_shop,credit,23,11,0
869,22,online,laptop,foreign,walmart,credit,22,27,0
2533,15,online,laptop,foreign,walmart,debit,39,27,0
5411,3,offline,laptop,india,flipkart,credit,66,32,0
37919,10,offline,mobile,india,walmart,debit,40,18,0
39288,23,online,laptop,foreign,amazon,credit,42,27,1
17668,22,online,mobile,foreign,local_shop,debit,51,48,0
19869,8,online,mobile,india,amazon,debit,43,36,0
28793,22,online,laptop,india,amazon,debit,64,25,0
6496,2,offline,laptop,india,walmart,debit,22,34,0
27580,18,online,mobile,foreign,amazon,credit,43,33,1
41534,7,online,mobile,foreign,walmart,credit,37,34,1
25758,4,online,mobile,foreign,local_shop,credit,23,39,1
19042,3,online,laptop,india,local_shop,credit,23,15,0
18531,23,offline,mobile,india,amazon,debit,67,37,0
2847,5,online,laptop,foreign,flipkart,debit,35,12,0
289,1,offline,laptop,foreign,walmart,credit,21,22,0
19218,19,online,laptop,india,walmart,credit,34,21,0
35873,10,online,mobile,india,amazon,credit,31,15,0
1999,3,offline,laptop,india,walmart,credit,31,27,0
1367,14,online,laptop,india,walmart,credit,30,47,0
31651,5,offline,laptop,foreign,flipkart,debit,24,34,0
11494,21,offline,laptop,india,flipkart,debit,61,44,0
3656,16,online,laptop,india,amazon,debit,32,45,0
3990,23,offline,mobile,india,flipkart,credit,36,7,0
41706,5,offline,laptop,foreign,amazon,credit,60,43,0
30840,18,offline,laptop,foreign,local_shop,credit,64,21,0
14602,1,offline,mobile,india,amazon,credit,61,20,0
21877,14,offline,laptop,india,local_shop,debit,52,25,0
10727,10,offline,mobile,india,amazon,debit,34,39,0
8892,7,offline,laptop,foreign,walmart,credit,52,20,0
43423,18,offline,mobile,foreign,flipkart,debit,36,24,0
43121,12,online,mobile,foreign,local_shop,debit,37,40,1
8533,11,online,laptop,india,amazon,credit,53,0,0
43101,4,offline,laptop,foreign,flipkart,credit,52,5,0
11116,5,online,laptop,india,amazon,credit,49,22,0
23997,21,offline,mobile,india,flipkart,credit,65,22,0
2712,3,offline,mobile,india,flipkart,credit,61,42,0
23583,18,online,mobile,foreign,amazon,credit,57,42,1
48655,19,offline,laptop,india,local_shop,debit,41,22,0
17259,0,offline,mobile,foreign,local_shop,debit,34,31,0
45074,19,offline,mobile,foreign,walmart,credit,24,29,0
41094,16,offline,laptop,india,flipkart,debit,60,12,0
14641,11,online,mobile,india,walmart,credit,67,42,0
36020,14,offline,mobile,foreign,walmart,credit,18,17,0
26631,0,offline,laptop,india,amazon,credit,52,22,0
1685,13,offline,mobile,foreign,amazon,credit,49,14,0
4043,5,online,laptop,india,amazon,debit,53,32,0
24039,4,offline,laptop,foreign,flipkart,credit,30,20,0
19557,10,online,laptop,foreign,amazon,debit,23,38,0
1121,3,online,laptop,foreign,amazon,credit,31,22,0
11753,12,offline,laptop,foreign,flipkart,credit,54,26,0
